epoch,reconstruction_loss,kl_divergence
1,16028.500359183436,1454.029093524445
2,14930.039447190666,1115.70606073896
3,14853.273084563232,961.9067927118558
4,14755.046108221448,945.7669497491962
5,14694.944060042977,941.1208575153147
